Animal.ID,weight,dam,sire,cross,kid
SRL11,166,d52427,s303,s303xd52427,1
SRL14,181,d52427,s303,s303xd52427,2
SRL15,172,d52427,s303,s303xd52427,3
SRL491,172,d52427,s303,s303xd52427,4
SRL30,173,d53697,s303,s303xd53697,1
SRL54,206,d53697,s303,s303xd53697,2
SRL51,224,d53697,s303,s303xd53697,3
SRL53,179,d53697,s303,s303xd53697,4
SRL33,186,d304784,s303,s303xd304784,1
SRL468,210,d304784,s303,s303xd304784,2
SRL32,151,d304784,s303,s303xd304784,3
SRL459,143,d304784,s303,s303xd304784,4
SRL37,153,d304784,s453,s453xd304784,1
SRL473,175,d304784,s453,s453xd304784,2
SRL23,164,d304784,s453,s453xd304784,3
SRL25,176,d304784,s453,s453xd304784,4
SRL39,154,d53697,s453,s453xd53697,1
SRL48,196,d53697,s453,s453xd53697,2
SRL45,168,d53697,s453,s453xd53697,3
SRL42,173,d53697,s453,s453xd53697,4
SRL445,159,d54134,s453,s453xd54134,1
SRL610,143,d54134,s453,s453xd54134,2
SRL448,157,d54134,s453,s453xd54134,3
SRL585,149,d54134,s453,s453xd54134,4
SRL454,155,d54156,s453,s453xd54156,1
SRL465,180,d54156,s453,s453xd54156,2
SRL618,153,d54156,s453,s453xd54156,3
SRL466,155,d54156,s453,s453xd54156,4
SRL472,160,d53393,s453,s453xd53393,1
SRL615,157,d53393,s453,s453xd53393,2
SRL582,150,d53393,s453,s453xd53393,3
SRL479,176,d53393,s453,s453xd53393,4
SRL580,193,d54156,s303,s303xd54156,1
SRL588,198,d54156,s303,s303xd54156,2
SRL450,173,d54156,s303,s303xd54156,3
SRL581,176,d54156,s303,s303xd54156,4
SRL606,162,d54134,s303,s303xd54134,1
SRL605,160,d54134,s303,s303xd54134,2
SRL571,219,d54134,s303,s303xd54134,3
SRL462,186,d54134,s303,s303xd54134,4
SRL8,170,d52427,s453,s453xd52427,1
SRL6,156,d52427,s453,s453xd52427,2
SRL9,161,d52427,s453,s453xd52427,3
SRL483,160,d54185,s453,s453xd54185,1
SRL480,156,d54185,s453,s453xd54185,2
SRL632,207,d54185,s453,s453xd54185,3
SRL633,157,d54185,s453,s453xd54185,4
SRL1,163,d54185,s303,s303xd54185,1
SRL500,157,d54185,s303,s303xd54185,2
SRL508,181,d54185,s303,s303xd54185,3
SRL76,162,d54185,s303,s303xd54185,4
SRL100,216,d120371,s303,s303xd120371,1
SRL108,191,d120371,s303,s303xd120371,2
SRL556,201,d120371,s303,s303xd120371,3
SRL628,177,d120371,s303,s303xd120371,4
SRL530,152,d117343,s303,s303xd117343,1
SRL536,193,d117343,s303,s303xd117343,2
SRL537,199,d117343,s303,s303xd117343,3
SRL527,181,d117343,s303,s303xd117343,4
SRL548,154,d309140,s303,s303xd309140,1
SRL549,168,d304794,s453,s453xd304794,1
SRL504,201,d304794,s453,s453xd304794,2
SRL505,167,d304794,s453,s453xd304794,3
SRL81,155,d304794,s453,s453xd304794,4
SRL564,208,d312316,s303,s303xd312316,1
SRL629,215,d312316,s303,s303xd312316,2
SRL543,182,d312316,s303,s303xd312316,3
SRL552,152,d312316,s303,s303xd312316,4
SRL601,197,d305745,s303,s303xd305745,1
SRL501,159,d305745,s303,s303xd305745,2
SRL90,161,d305745,s303,s303xd305745,3
SRL622,187,d305745,s303,s303xd305745,4
SRL70,164,d304975,s303,s303xd304975,1
SRL77,164,d304975,s303,s303xd304975,2
SRL89,166,d304975,s303,s303xd304975,3
SRL79,157,d304975,s453,s453xd304975,1
SRL92,204,d304975,s453,s453xd304975,2
SRL525,154,d304975,s453,s453xd304975,3
SRL86,197,d309073,s303,s303xd309073,1
SRL495,164,d309073,s303,s303xd309073,2
SRL498,190,d309073,s303,s303xd309073,3
SRL66,164,d309073,s303,s303xd309073,4
SRL510,182,d305745,s453,s453xd305745,1
SRL514,180,d305745,s453,s453xd305745,2
SRL516,154,d305745,s453,s453xd305745,3
SRL596,141,d305745,s453,s453xd305745,4
SRL565,151,d309140,s453,s453xd309140,1
SRL566,158,d309140,s453,s453xd309140,2
SRL625,166,d309140,s453,s453xd309140,3
SRL94,183,d309140,s453,s453xd309140,4
SRL598,156,d304794,s303,s303xd304794,1
SRL513,146,d304794,s303,s303xd304794,2
SRL517,206,d304794,s303,s303xd304794,3
SRL561,156,d312316,s453,s453xd312316,1
SRL260,158,d312316,s453,s453xd312316,2
SRL264,175,d312316,s453,s453xd312316,3
SRL263,187,d312316,s453,s453xd312316,4
SRL115,157,d316331,s303,s303xd316331,1
SRL123,174,d316331,s303,s303xd316331,2
SRL130,218,d316331,s303,s303xd316331,3
SRL133,233,d316331,s303,s303xd316331,4
SRL118,156,d316331,s453,s453xd316331,1
SRL121,205,d316331,s453,s453xd316331,2
SRL125,181,d316331,s453,s453xd316331,3
SRL141,191,d316331,s453,s453xd316331,4
SRL135,189,d314117,s303,s303xd314117,1
SRL155,178,d314117,s303,s303xd314117,2
SRL136,167,d314117,s303,s303xd314117,3
SRL169,214,d314117,s303,s303xd314117,4
SRL152,181,d309035,s303,s303xd309035,1
SRL144,190,d309035,s303,s303xd309035,2
SRL143,156,d309035,s303,s303xd309035,3
SRL153,171,d309035,s303,s303xd309035,4
SRL159,171,d314117,s453,s453xd314117,1
SRL161,163,d314117,s453,s453xd314117,2
SRL163,186,d314117,s453,s453xd314117,3
SRL168,173,d314117,s453,s453xd314117,4
SRL171,159,d316318,s453,s453xd316318,1
SRL174,163,d316318,s453,s453xd316318,2
SRL258,177,d316318,s453,s453xd316318,3
SRL173,164,d316318,s453,s453xd316318,4
SRL182,161,d316318,s303,s303xd316318,1
SRL208,184,d316318,s303,s303xd316318,2
SRL178,218,d316318,s303,s303xd316318,3
SRL180,208,d316318,s303,s303xd316318,4
SRL187,189,d313506,s303,s303xd313506,1
SRL195,179,d313506,s303,s303xd313506,2
SRL2,147,d313506,s303,s303xd313506,3
SRL189,218,d316647,s303,s303xd316647,1
SRL191,170,d316647,s303,s303xd316647,2
SRL198,216,d316647,s303,s303xd316647,3
SRL205,149,d312158,s453,s453xd312158,1
SRL206,168,d312158,s453,s453xd312158,2
SRL210,222,d313498,s303,s303xd313498,1
SRL222,169,d313498,s303,s303xd313498,2
SRL228,170,d313498,s303,s303xd313498,3
SRL230,151,d313498,s303,s303xd313498,4
SRL219,161,d312158,s303,s303xd312158,1
SRL225,172,d312158,s303,s303xd312158,2
SRL237,174,d313662,s453,s453xd313662,1
SRL238,188,d313662,s453,s453xd313662,2
SRL240,207,d313662,s453,s453xd313662,3
SRL241,209,d313662,s453,s453xd313662,4
SRL246,171,d313662,s303,s303xd313662,1
SRL249,208,d313662,s303,s303xd313662,2
SRL149,193,d309035,s453,s453xd309035,1
SRL147,177,d309035,s453,s453xd309035,2
SRL151,150,d309035,s453,s453xd309035,3
SRL177,170,d316647,s453,s453xd316647,1
SRL184,163,d313506,s453,s453xd313506,1
SRL213,171,d313498,s453,s453xd313498,1
SRL214,170,d313498,s453,s453xd313498,2
SRL233,184,d313092,s453,s453xd313092,1
SRL234,193,d313092,s453,s453xd313092,2
SRL274,190,d317607,s303,s303xd317607,1
SRL369,219,d317607,s303,s303xd317607,2
SRL380,207,d317607,s303,s303xd317607,3
SRL272,153,d317607,s303,s303xd317607,4
SRL279,227,d318555,s453,s453xd318555,1
SRL281,208,d318555,s453,s453xd318555,2
SRL283,212,d318555,s453,s453xd318555,3
SRL288,152,d319237,s453,s453xd319237,1
SRL286,155,d319237,s453,s453xd319237,2
SRL290,167,d319237,s453,s453xd319237,3
SRL292,153,d319237,s453,s453xd319237,4
SRL311,218,d319237,s303,s303xd319237,1
SRL312,167,d319237,s303,s303xd319237,2
SRL316,192,d318838,s453,s453xd318838,1
SRL321,192,d318838,s453,s453xd318838,2
SRL318,213,d318838,s453,s453xd318838,3
SRL320,161,d318838,s453,s453xd318838,4
SRL333,161,d318054,s303,s303xd318054,1
SRL348,177,d318054,s303,s303xd318054,2
SRL351,171,d318054,s303,s303xd318054,3
SRL354,182,d318054,s303,s303xd318054,4
SRL357,216,d318823,s303,s303xd318823,1
SRL361,217,d318823,s303,s303xd318823,2
SRL358,209,d318823,s303,s303xd318823,3
SRL368,214,d317607,s453,s453xd317607,1
SRL385,175,d317607,s453,s453xd317607,2
SRL392,174,d317607,s453,s453xd317607,3
SRL395,188,d317607,s453,s453xd317607,4
SRL404,153,d319327,s453,s453xd319327,1
SRL401,164,d319327,s453,s453xd319327,2
SRL410,160,d319327,s453,s453xd319327,3
SRL407,178,d319327,s453,s453xd319327,4
SRL440,193,d318437,s303,s303xd318437,1
SRL431,167,d318437,s303,s303xd318437,2
SRL434,193,d318437,s303,s303xd318437,3
SRL267,173,d318823,s453,s453xd318823,1
SRL269,180,d318823,s453,s453xd318823,2
SRL305,160,d318054,s453,s453xd318054,1
SRL329,158,d318054,s453,s453xd318054,2
SRL303,159,d318054,s453,s453xd318054,3
SRL307,166,d318054,s453,s453xd318054,4
SRL325,201,d319105,s303,s303xd319105,1
SRL326,181,d319105,s303,s303xd319105,2
SRL327,181,d319105,s303,s303xd319105,3
